llm,dataset,relation,True,Accuracy,Size,Equivalence,Contains,ContainedBy,Overlap,Disjoint,Unknown,Else
deepseek-reasoner,spinach,R(1-2),Equivalence,0.8933(134),150,0.8933(134),0.0400(6),0.0533(8),0.0067(1),0.0000(0),0.0067(1),0.0000(0)
deepseek-reasoner,spinach,R(1-3),Contains,0.9667(145),150,0.0000(0),0.9667(145),0.0133(2),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
deepseek-reasoner,spinach,R(1-4),Contains,0.9600(144),150,0.0200(3),0.9600(144),0.0000(0),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
deepseek-reasoner,spinach,R(3-4),Disjoint,0.9533(143),150,0.0067(1),0.0000(0),0.0000(0),0.0333(5),0.9533(143),0.0067(1),0.0000(0)
deepseek-reasoner,spinach,R(1-34),Equivalence,0.9267(139),150,0.9267(139),0.0400(6),0.0200(3),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
deepseek-reasoner,synthetic,R(1-2),Equivalence,0.8800(132),150,0.8800(132),0.0600(9),0.0400(6),0.0000(0),0.0200(3),0.0000(0),0.0000(0)
deepseek-reasoner,synthetic,R(1-3),Contains,0.9667(145),150,0.0200(3),0.9667(145),0.0067(1),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
deepseek-reasoner,synthetic,R(1-4),Contains,0.9600(144),150,0.0000(0),0.9600(144),0.0000(0),0.0133(2),0.0133(2),0.0133(2),0.0000(0)
deepseek-reasoner,synthetic,R(3-4),Disjoint,0.9733(146),150,0.0067(1),0.0000(0),0.0000(0),0.0200(3),0.9733(146),0.0000(0),0.0000(0)
deepseek-reasoner,synthetic,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0000(0),0.0133(2),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gemini-2.0-flash,LC-QuAD,R(1-2),Equivalence,0.9533(143),150,0.9533(143),0.0133(2),0.0133(2),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
gemini-2.0-flash,LC-QuAD,R(1-3),Contains,0.7200(108),150,0.0200(3),0.7200(108),0.2267(34),0.0200(3),0.0067(1),0.0067(1),0.0000(0)
gemini-2.0-flash,LC-QuAD,R(1-4),Contains,0.2467(37),150,0.0200(3),0.2467(37),0.0267(4),0.6267(94),0.0800(12),0.0000(0),0.0000(0)
gemini-2.0-flash,LC-QuAD,R(3-4),Disjoint,0.9467(142),150,0.0000(0),0.0133(2),0.0000(0),0.0400(6),0.9467(142),0.0000(0),0.0000(0)
gemini-2.0-flash,LC-QuAD,R(1-34),Equivalence,0.8133(122),150,0.8133(122),0.0067(1),0.0000(0),0.1533(23),0.0267(4),0.0000(0),0.0000(0)
gemini-2.0-flash,qawiki,R(1-2),Equivalence,0.9667(145),150,0.9667(145),0.0133(2),0.0000(0),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
gemini-2.0-flash,qawiki,R(1-3),Contains,0.8600(129),150,0.0067(1),0.8600(129),0.1133(17),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
gemini-2.0-flash,qawiki,R(1-4),Contains,0.1533(23),150,0.0000(0),0.1533(23),0.0333(5),0.7267(109),0.0867(13),0.0000(0),0.0000(0)
gemini-2.0-flash,qawiki,R(3-4),Disjoint,0.9400(141),150,0.0000(0),0.0067(1),0.0000(0),0.0533(8),0.9400(141),0.0000(0),0.0000(0)
gemini-2.0-flash,qawiki,R(1-34),Equivalence,0.8333(125),150,0.8333(125),0.0000(0),0.0000(0),0.0933(14),0.0733(11),0.0000(0),0.0000(0)
gemini-2.0-flash,spinach,R(1-2),Equivalence,0.9667(145),150,0.9667(145),0.0067(1),0.0133(2),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
gemini-2.0-flash,spinach,R(1-3),Contains,0.8867(133),150,0.0000(0),0.8867(133),0.0800(12),0.0200(3),0.0133(2),0.0000(0),0.0000(0)
gemini-2.0-flash,spinach,R(1-4),Contains,0.2600(39),150,0.0000(0),0.2600(39),0.0400(6),0.6133(92),0.0867(13),0.0000(0),0.0000(0)
gemini-2.0-flash,spinach,R(3-4),Disjoint,0.9733(146),150,0.0000(0),0.0000(0),0.0000(0),0.0267(4),0.9733(146),0.0000(0),0.0000(0)
gemini-2.0-flash,spinach,R(1-34),Equivalence,0.8600(129),150,0.8600(129),0.0000(0),0.0000(0),0.0800(12),0.0600(9),0.0000(0),0.0000(0)
gemini-2.0-flash,synthetic,R(1-2),Equivalence,0.7467(112),150,0.7467(112),0.0133(2),0.0067(1),0.0133(2),0.2200(33),0.0000(0),0.0000(0)
gemini-2.0-flash,synthetic,R(1-3),Contains,0.7000(105),150,0.0267(4),0.7000(105),0.0667(10),0.0133(2),0.1933(29),0.0000(0),0.0000(0)
gemini-2.0-flash,synthetic,R(1-4),Contains,0.1933(29),150,0.0200(3),0.1933(29),0.0267(4),0.5133(77),0.2467(37),0.0000(0),0.0000(0)
gemini-2.0-flash,synthetic,R(3-4),Disjoint,0.9467(142),150,0.0133(2),0.0000(0),0.0000(0),0.0400(6),0.9467(142),0.0000(0),0.0000(0)
gemini-2.0-flash,synthetic,R(1-34),Equivalence,0.7067(106),150,0.7067(106),0.0000(0),0.0000(0),0.0533(8),0.1000(15),0.1400(21),0.0000(0)
gemini-2.5-flash,LC-QuAD,R(1-2),Equivalence,0.8933(134),150,0.8933(134),0.0467(7),0.0400(6),0.0067(1),0.0133(2),0.0000(0),0.0000(0)
gemini-2.5-flash,LC-QuAD,R(1-3),Contains,0.9600(144),150,0.0067(1),0.9600(144),0.0067(1),0.0000(0),0.0000(0),0.0267(4),0.0000(0)
gemini-2.5-flash,LC-QuAD,R(1-4),Contains,0.9667(145),150,0.0000(0),0.9667(145),0.0000(0),0.0000(0),0.0000(0),0.0333(5),0.0000(0)
gemini-2.5-flash,LC-QuAD,R(3-4),Disjoint,0.9600(144),150,0.0000(0),0.0267(4),0.0000(0),0.0133(2),0.9600(144),0.0000(0),0.0000(0)
gemini-2.5-flash,LC-QuAD,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0133(2),0.0133(2),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-flash,qawiki,R(1-2),Equivalence,0.7933(119),150,0.7933(119),0.0667(10),0.1400(21),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-flash,qawiki,R(1-3),Contains,0.9533(143),150,0.0267(4),0.9533(143),0.0067(1),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
gemini-2.5-flash,qawiki,R(1-4),Contains,0.9667(145),150,0.0067(1),0.9667(145),0.0000(0),0.0000(0),0.0200(3),0.0067(1),0.0000(0)
gemini-2.5-flash,qawiki,R(3-4),Disjoint,0.9733(146),150,0.0000(0),0.0067(1),0.0000(0),0.0200(3),0.9733(146),0.0000(0),0.0000(0)
gemini-2.5-flash,qawiki,R(1-34),Equivalence,0.9667(145),150,0.9667(145),0.0133(2),0.0067(1),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gemini-2.5-flash,spinach,R(1-2),Equivalence,0.8733(131),150,0.8733(131),0.0467(7),0.0600(9),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-flash,spinach,R(1-3),Contains,0.9533(143),150,0.0067(1),0.9533(143),0.0000(0),0.0133(2),0.0067(1),0.0133(2),0.0067(1)
gemini-2.5-flash,spinach,R(1-4),Contains,0.9533(143),150,0.0200(3),0.9533(143),0.0000(0),0.0133(2),0.0000(0),0.0133(2),0.0000(0)
gemini-2.5-flash,spinach,R(3-4),Disjoint,0.9667(145),150,0.0067(1),0.0000(0),0.0067(1),0.0200(3),0.9667(145),0.0000(0),0.0000(0)
gemini-2.5-flash,spinach,R(1-34),Equivalence,0.9267(139),150,0.9267(139),0.0400(6),0.0133(2),0.0067(1),0.0067(1),0.0067(1),0.0000(0)
gemini-2.5-flash,synthetic,R(1-2),Equivalence,0.8933(134),150,0.8933(134),0.0467(7),0.0333(5),0.0133(2),0.0067(1),0.0067(1),0.0000(0)
gemini-2.5-flash,synthetic,R(1-3),Contains,0.9600(144),150,0.0200(3),0.9600(144),0.0067(1),0.0067(1),0.0000(0),0.0067(1),0.0000(0)
gemini-2.5-flash,synthetic,R(1-4),Contains,0.9667(145),150,0.0067(1),0.9667(145),0.0000(0),0.0067(1),0.0067(1),0.0067(1),0.0067(1)
gemini-2.5-flash,synthetic,R(3-4),Disjoint,0.9733(146),150,0.0067(1),0.0067(1),0.0000(0),0.0133(2),0.9733(146),0.0000(0),0.0000(0)
gemini-2.5-flash,synthetic,R(1-34),Equivalence,0.9533(143),150,0.9533(143),0.0133(2),0.0133(2),0.0000(0),0.0133(2),0.0000(0),0.0067(1)
gemini-2.5-pro,LC-QuAD,R(1-2),Equivalence,0.9533(143),150,0.9533(143),0.0133(2),0.0267(4),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,LC-QuAD,R(1-3),Contains,0.9933(149),150,0.0000(0),0.9933(149),0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,LC-QuAD,R(1-4),Contains,0.9667(145),150,0.0067(1),0.9667(145),0.0000(0),0.0133(2),0.0067(1),0.0000(0),0.0067(1)
gemini-2.5-pro,LC-QuAD,R(3-4),Disjoint,0.9933(149),150,0.0000(0),0.0067(1),0.0000(0),0.0000(0),0.9933(149),0.0000(0),0.0000(0)
gemini-2.5-pro,LC-QuAD,R(1-34),Equivalence,0.9667(145),150,0.9667(145),0.0267(4),0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,qawiki,R(1-2),Equivalence,0.8733(131),150,0.8733(131),0.0333(5),0.0867(13),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,qawiki,R(1-3),Contains,0.9667(145),150,0.0267(4),0.9667(145),0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,qawiki,R(1-4),Contains,0.9333(140),150,0.0067(1),0.9333(140),0.0000(0),0.0267(4),0.0333(5),0.0000(0),0.0000(0)
gemini-2.5-pro,qawiki,R(3-4),Disjoint,0.9867(148),150,0.0000(0),0.0000(0),0.0000(0),0.0133(2),0.9867(148),0.0000(0),0.0000(0)
gemini-2.5-pro,qawiki,R(1-34),Equivalence,0.9667(145),150,0.9667(145),0.0000(0),0.0200(3),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gemini-2.5-pro,spinach,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0267(4),0.0600(9),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,spinach,R(1-3),Contains,0.9733(146),150,0.0133(2),0.9733(146),0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gemini-2.5-pro,spinach,R(1-4),Contains,0.9200(138),150,0.0333(5),0.9200(138),0.0000(0),0.0133(2),0.0200(3),0.0000(0),0.0133(2)
gemini-2.5-pro,spinach,R(3-4),Disjoint,0.9800(147),150,0.0067(1),0.0000(0),0.0000(0),0.0067(1),0.9800(147),0.0000(0),0.0067(1)
gemini-2.5-pro,spinach,R(1-34),Equivalence,0.9533(143),150,0.9533(143),0.0333(5),0.0133(2),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,synthetic,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0400(6),0.0267(4),0.0000(0),0.0133(2),0.0000(0),0.0067(1)
gemini-2.5-pro,synthetic,R(1-3),Contains,0.9733(146),150,0.0067(1),0.9733(146),0.0067(1),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gemini-2.5-pro,synthetic,R(1-4),Contains,0.9600(144),150,0.0000(0),0.9600(144),0.0000(0),0.0267(4),0.0133(2),0.0000(0),0.0000(0)
gemini-2.5-pro,synthetic,R(3-4),Disjoint,0.9800(147),150,0.0067(1),0.0000(0),0.0000(0),0.0133(2),0.9800(147),0.0000(0),0.0000(0)
gemini-2.5-pro,synthetic,R(1-34),Equivalence,0.9600(144),150,0.9600(144),0.0067(1),0.0200(3),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,LC-QuAD,R(1-2),Equivalence,0.9667(145),150,0.9667(145),0.0200(3),0.0133(2),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,LC-QuAD,R(1-3),Contains,0.9800(147),150,0.0000(0),0.9800(147),0.0067(1),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,LC-QuAD,R(1-4),Contains,0.7600(114),150,0.0000(0),0.7600(114),0.0000(0),0.2267(34),0.0133(2),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,LC-QuAD,R(3-4),Disjoint,0.9933(149),150,0.0000(0),0.0067(1),0.0000(0),0.0000(0),0.9933(149),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,LC-QuAD,R(1-34),Equivalence,1.0000(150),150,1.0000(150),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,qawiki,R(1-2),Equivalence,0.9533(143),150,0.9533(143),0.0467(7),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,qawiki,R(1-3),Contains,0.9867(148),150,0.0067(1),0.9867(148),0.0000(0),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,qawiki,R(1-4),Contains,0.6267(94),150,0.0000(0),0.6267(94),0.0000(0),0.3133(47),0.0600(9),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,qawiki,R(3-4),Disjoint,1.0000(150),150,0.0000(0),0.0000(0),0.0000(0),0.0000(0),1.0000(150),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,qawiki,R(1-34),Equivalence,1.0000(150),150,1.0000(150),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,spinach,R(1-2),Equivalence,0.9400(141),150,0.9400(141),0.0333(5),0.0200(3),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-4.1-2025-04-14,spinach,R(1-3),Contains,0.9933(149),150,0.0000(0),0.9933(149),0.0000(0),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,spinach,R(1-4),Contains,0.6733(101),150,0.0000(0),0.6733(101),0.0067(1),0.2800(42),0.0400(6),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,spinach,R(3-4),Disjoint,0.9933(149),150,0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.9933(149),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,spinach,R(1-34),Equivalence,0.9800(147),150,0.9800(147),0.0000(0),0.0067(1),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,synthetic,R(1-2),Equivalence,0.9200(138),150,0.9200(138),0.0600(9),0.0067(1),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,synthetic,R(1-3),Contains,0.9867(148),150,0.0000(0),0.9867(148),0.0133(2),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,synthetic,R(1-4),Contains,0.7267(109),150,0.0000(0),0.7267(109),0.0000(0),0.2200(33),0.0533(8),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,synthetic,R(3-4),Disjoint,0.9933(149),150,0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.9933(149),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,synthetic,R(1-34),Equivalence,0.9933(149),150,0.9933(149),0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,LC-QuAD,R(1-2),Equivalence,0.9067(136),150,0.9067(136),0.0267(4),0.0467(7),0.0133(2),0.0000(0),0.0067(1),0.0000(0)
gpt-4.1-mini-2025-04-14,LC-QuAD,R(1-3),Contains,0.3467(52),150,0.0000(0),0.3467(52),0.6400(96),0.0067(1),0.0000(0),0.0067(1),0.0000(0)
gpt-4.1-mini-2025-04-14,LC-QuAD,R(1-4),Contains,0.2533(38),150,0.0067(1),0.2533(38),0.0933(14),0.6133(92),0.0333(5),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,LC-QuAD,R(3-4),Disjoint,0.9800(147),150,0.0000(0),0.0133(2),0.0000(0),0.0067(1),0.9800(147),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,LC-QuAD,R(1-34),Equivalence,0.9467(142),150,0.9467(142),0.0067(1),0.0000(0),0.0133(2),0.0333(5),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,qawiki,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0133(2),0.0667(10),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,qawiki,R(1-3),Contains,0.3467(52),150,0.0067(1),0.3467(52),0.6400(96),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,qawiki,R(1-4),Contains,0.2133(32),150,0.0000(0),0.2133(32),0.0600(9),0.6333(95),0.0933(14),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,qawiki,R(3-4),Disjoint,1.0000(150),150,0.0000(0),0.0000(0),0.0000(0),0.0000(0),1.0000(150),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,qawiki,R(1-34),Equivalence,0.9667(145),150,0.9667(145),0.0000(0),0.0000(0),0.0133(2),0.0200(3),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,spinach,R(1-2),Equivalence,0.9400(141),150,0.9400(141),0.0067(1),0.0467(7),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-4.1-mini-2025-04-14,spinach,R(1-3),Contains,0.3600(54),150,0.0000(0),0.3600(54),0.6133(92),0.0133(2),0.0067(1),0.0067(1),0.0000(0)
gpt-4.1-mini-2025-04-14,spinach,R(1-4),Contains,0.1533(23),150,0.0000(0),0.1533(23),0.1467(22),0.6267(94),0.0600(9),0.0133(2),0.0000(0)
gpt-4.1-mini-2025-04-14,spinach,R(3-4),Disjoint,0.9933(149),150,0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.9933(149),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,spinach,R(1-34),Equivalence,0.9467(142),150,0.9467(142),0.0067(1),0.0000(0),0.0133(2),0.0333(5),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,synthetic,R(1-2),Equivalence,0.8800(132),150,0.8800(132),0.0333(5),0.0667(10),0.0067(1),0.0133(2),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,synthetic,R(1-3),Contains,0.3267(49),150,0.0000(0),0.3267(49),0.6400(96),0.0333(5),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,synthetic,R(1-4),Contains,0.2133(32),150,0.0133(2),0.2133(32),0.0733(11),0.5200(78),0.1800(27),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,synthetic,R(3-4),Disjoint,0.9867(148),150,0.0067(1),0.0000(0),0.0000(0),0.0067(1),0.9867(148),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,synthetic,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0067(1),0.0000(0),0.0000(0),0.0200(3),0.0000(0),0.0000(0)
gpt-4.1-nano-2025-04-14,LC-QuAD,R(1-2),Equivalence,0.7067(106),150,0.7067(106),0.0000(0),0.0000(0),0.2667(40),0.0000(0),0.0133(2),0.0133(2)
gpt-4.1-nano-2025-04-14,LC-QuAD,R(1-3),Contains,0.3333(50),150,0.0200(3),0.3333(50),0.0733(11),0.4467(67),0.0333(5),0.0467(7),0.0467(7)
gpt-4.1-nano-2025-04-14,LC-QuAD,R(1-4),Contains,0.3800(57),150,0.0067(1),0.3800(57),0.1067(16),0.2267(34),0.1133(17),0.1133(17),0.0533(8)
gpt-4.1-nano-2025-04-14,LC-QuAD,R(3-4),Disjoint,0.5267(79),150,0.0000(0),0.1333(20),0.1467(22),0.0533(8),0.5267(79),0.0667(10),0.0733(11)
gpt-4.1-nano-2025-04-14,LC-QuAD,R(1-34),Equivalence,0.0000(0),150,0.0000(0),0.0333(5),0.1467(22),0.0000(0),0.8133(122),0.0000(0),0.0067(1)
gpt-4.1-nano-2025-04-14,qawiki,R(1-2),Equivalence,0.6067(91),150,0.6067(91),0.0067(1),0.0000(0),0.3800(57),0.0000(0),0.0067(1),0.0000(0)
gpt-4.1-nano-2025-04-14,qawiki,R(1-3),Contains,0.4800(72),150,0.0267(4),0.4800(72),0.1067(16),0.3333(50),0.0000(0),0.0533(8),0.0000(0)
gpt-4.1-nano-2025-04-14,qawiki,R(1-4),Contains,0.5467(82),150,0.0000(0),0.5467(82),0.1333(20),0.1333(20),0.1200(18),0.0667(10),0.0000(0)
gpt-4.1-nano-2025-04-14,qawiki,R(3-4),Disjoint,0.6467(97),150,0.0000(0),0.1800(27),0.0800(12),0.0533(8),0.6467(97),0.0400(6),0.0000(0)
gpt-4.1-nano-2025-04-14,qawiki,R(1-34),Equivalence,0.0000(0),150,0.0000(0),0.0000(0),0.1200(18),0.0000(0),0.8800(132),0.0000(0),0.0000(0)
gpt-4.1-nano-2025-04-14,spinach,R(1-2),Equivalence,0.8000(120),150,0.8000(120),0.0000(0),0.0000(0),0.2000(30),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-nano-2025-04-14,spinach,R(1-3),Contains,0.3533(53),150,0.0467(7),0.3533(53),0.0533(8),0.4867(73),0.0133(2),0.0467(7),0.0000(0)
gpt-4.1-nano-2025-04-14,spinach,R(1-4),Contains,0.2933(44),150,0.0000(0),0.2933(44),0.1600(24),0.2200(33),0.2533(38),0.0733(11),0.0000(0)
gpt-4.1-nano-2025-04-14,spinach,R(3-4),Disjoint,0.6867(103),150,0.0000(0),0.1467(22),0.0600(9),0.0533(8),0.6867(103),0.0467(7),0.0067(1)
gpt-4.1-nano-2025-04-14,spinach,R(1-34),Equivalence,0.0000(0),150,0.0000(0),0.0067(1),0.0800(12),0.0000(0),0.9133(137),0.0000(0),0.0000(0)
gpt-4.1-nano-2025-04-14,synthetic,R(1-2),Equivalence,0.6533(98),150,0.6533(98),0.0267(4),0.0000(0),0.3133(47),0.0000(0),0.0067(1),0.0000(0)
gpt-4.1-nano-2025-04-14,synthetic,R(1-3),Contains,0.4067(61),150,0.0133(2),0.4067(61),0.0867(13),0.4200(63),0.0400(6),0.0333(5),0.0000(0)
